Fabric Name;Brand;Line;Country of Origin;Construction;Fabric Weight (oz/yd2);Tear Strength Warp (lb);Tear Strength Fill (lb);Average Tear Strength (lb);Waterproof (psi / bar);Abrasion (cycles);Width (in);Price;Film backing (good for seam taping);Fluorocarbon Free DWR;CleenTec;Carbon Offset;Laminated Material;Hand feel;Recycled
EPLX200;Challenge;EcoPak EPLX;China;C0 DWR, 200d face, 45° Blue CrossPly, 0.5 mil matte film;4.3;21.2;17.2;19.2;200;500;56;Moderate;Yes;Yes;No;no;Yes;Techy;Yes
EPLX200 RS;Challenge;EcoPak EPLX;China;C0 DWR, 200d Ripstop face, 45° Blue CrossPly, 0.5 mil matte film;4.8;22.8;19.7;21.25;200;300;56;Moderate;Yes;Yes;No;no;Yes;Techy;Yes
EPLX400;Challenge;EcoPak EPLX;China;C0 DWR, 400d face, 45° Blue CrossPly, 0.5 mil matte film;6.9;34.4;26.7;30.55;200;3000;56;Moderate;Yes;Yes;No;no;Yes;Techy;Yes
EPLX450 RS;Challenge;EcoPak EPLX;China;C0 DWR, 450d Ripstop face, 45° Blue CrossPly, 0.5 mil matte film;7.6;36.7;28.3;32.5;200;1500;56;Moderate;Yes;Yes;No;no;Yes;Techy;Yes
EPLX600 RE/COR;Challenge;EcoPak EPLX;China;C0 DWR, 600d face, 45° Blue CrossPly, 0.5 mil matte film;9.75;38.8;41.1;39.95;200;3000;56;Moderate;Yes;Yes;No;no;Yes;Techy;Yes
EPLX840 Ballistic;Challenge;EcoPak EPLX;China;C0 DWR, 840d Ballistic face, 45° Blue CrossPly, 0.5 mil matte film;9.85;51.3;49.5;50.4;200;4400;56;Moderate;Yes;Yes;No;no;Yes;Techy;Yes
EPLX1680 Ballistic;Challenge;EcoPak EPLX;China;C0 DWR, 1680d Ballistic face, 45° Blue CrossPly, 0.5 mil matte film;12.3;114.1;107.3;110.7;200;10200;56;Moderate;Yes;Yes;No;no;Yes;Techy;Yes
EPX70RS;Challenge;EcoPak;China;C0 DWR, 70d Ripstop face, 45° Blue CrossPly, 70d ripstop backing;5.05;17.8;14.1;15.95;200;300;56;Moderate;No;Yes;No;no;Yes;Softer;Yes
EPX200;Challenge;EcoPak;China;C0 DWR, 200d face, 45° Blue CrossPly, 70d ripstop backing;5.9;26.7;24.8;25.75;200;500;56;Moderate;No;Yes;No;no;Yes;Softer;Yes
EPX400d;Challenge;EcoPak;China;C0 DWR, 400d face, 45° Blue CrossPly, 70d ripstop backing;8.95;37.8;33.8;35.8;200;3000;56;Moderate;No;Yes;No;no;Yes;Softer;Yes
EPX600;Challenge;EcoPak;China;C0 DWR, 600d face, 45° Blue CrossPly, 70d ripstop backing;9.97;42.6;39.7;41.15;200;2000;56;Moderate;No;Yes;No;no;Yes;Softer;Yes
EPX70HH;Challenge;EcoPak Hyrid;China;Liquid Crystal Polymer, 70d face, 45° Blue CrossPly, 70d ripstop backing;5.25;17.8;14.1;15.95;200;1000;56;Moderate;No;no;No;no;Yes;Softer;Partially
EPX240 Denim;Challenge;EcoPak Hyrid;China;240d recycled polyester/nylon face, 45° Blue CrossPly, 70d ripstop backing;9.9;37.7;36;36.85;200;3000;56;Moderate;No;no;No;no;Yes;Softer;Partially
EPX400HH;Challenge;EcoPak Hyrid;China;Liquid Crystal Polymer, 400d face, 45° Blue CrossPly, 70d ripstop backing;9.15;37.8;33.8;35.8;200;15000;56;Moderate;No;no;No;no;Yes;Softer;Partially
UltraTX50;Challenge;UltraTX;China;50d ripstop face, Ultra 45° CrossPly, 0.25 mil film backing;2.4;250;250;250;200;500;59;Moderate;Yes;no;No;no;Yes;Techy;Partially
Ultra100;Challenge;UltraWeave;China;100d face, 0.5 mil RUV film backing;2.92;69.4;89.6;79.5;200;3600;58;High;Yes;no;No;no;Yes;Techy;No
Ultra200;Challenge;UltraWeave;China;200d face, 0.5 mil RUV film backing;3.5;103.1;133.2;118.15;200;4400;58;High;Yes;no;No;no;Yes;Techy;No
Ultra400;Challenge;UltraWeave;China;400d face, 0.5 mil RUV film backing;4.85;114.5;117.6;116.05;200;8800;58;High;Yes;no;No;no;Yes;Techy;No
Ultra800;Challenge;UltraWeave;China;800d face, 0.5 mil RUV film backing;8.5;250;250;250;200;16000;58;High;Yes;no;No;no;Yes;Techy;No
UltraStretch;Challenge;UltraStretch;China;C0 DWR, Nylon 6.6 blended with Ultra and stretch fiber;5.5;250;250;250;0;3000;44;Moderate;No;Yes;No;no;No;Softer;No
UltraGrid;Challenge;UltraGrid;China;C0 DWR, 210d recycled nylon, double Ultra ripstop, 1500mm PU backing;3.9;250;250;250;2.13;1100;59;Moderate;No;Yes;No;no;No;Softer;Partially
VX21;Dimension Polyant;X-Pac X4;Unknown;DWR, 210 denier Plain Weave Nylon face, 0.25 mil polyester film, Black post-consumer recycled polyester X-PLY® at 22°, 50 denier polyester taffeta backing;6.2;24.4;17.2;20.8;200;500;59;Moderate;No;Unclear;Yes;yes;Yes;Techy;Partially
VX21 CIRÉ;Dimension Polyant;X-Pac X4;Unknown;DWR, 210 denier Nylon, Black post-consumer recycled polyester X-PLY® at 22°, 0.25 mil polyester film, 50 denier polyester backing;6;24.4;17.2;20.8;200;2000;59;Moderate;No;Unclear;Yes;yes;Yes;Techy;Partially
VX42;Dimension Polyant;X-Pac X4;Unknown;DWR, 420 denier Nylon face, Black post-consumer recycled polyester X-PLY® at 22°, 0.25 mil polyester film, 50 denier polyester taffeta backing;8.8;31.2;21.6;26.4;200;1700;59;Moderate;No;Unclear;Yes;yes;Yes;Techy;Partially
VX03 RIPSTOP;Dimension Polyant;X-Pac X4;Unknown;DWR, 30x40 denier, Ripstop Nylon face, Black post-consumer recycled polyester X-PLY® at 22°, 0.25 mil polyester film, 50 denier polyester taffeta backing;3.8;11.1;9.4;10.25;200;600;59;Moderate;No;Unclear;Yes;yes;Yes;Techy;Partially
VX07 RIPSTOP;Dimension Polyant;X-Pac X4;Unknown;DWR, 70 denier, Ripstop Nylon face, Black post-consumer recycled polyester X-PLY® at 22°, 0.25 mil polyester film, 50 denier polyester taffeta backing;4.9;12.7;11.2;11.95;200;500;59;Moderate;No;Unclear;Yes;yes;Yes;Techy;Partially
UVX40;Dimension Polyant;X-Pac X4;Unknown;Ultra-PE/polyester ripstop, Black post-consumer recycled polyester X-PLY® at 22°, 0.25 mil polyester film, 50 denier polyester taffeta;7.1;28;22;25;200;1000;57;High;No;no;No;no;Yes;Techy;Partially
RVX25;Dimension Polyant;X-Pac X4;Unknown;DWR, 250d Polyester face, Black post-consumer recycled polyester X-PLY® at 22°, 0.25 mil polyester film, 50 denier polyester backing;7.9;21.6;19.3;20.45;200;2000;55;Moderate;No;Unclear;No;no;Yes;Techy;Partially
VX21 RIPSTOP Soft;Dimension Polyant;X-Pac X4;Unknown;DWR, 210 denier Ripstop Nylon face, Polyester and PU waterproof coating, Black post-consumer recycled polyester X-PLY® at 22°, 50 denier polyester taffeta backing;6.2;16.9;13.5;15.2;200;900;59;Moderate;No;Unclear;Yes;yes;Yes;Softer;Partially
UX10;Dimension Polyant;X-Pac X3;Unknown;100% Ultra-PE weave (100 denier) face, Aramid X-PLY reinforcement at 22o, Polyester film backing;2.5;61.8;50.4;56.1;200;500;59;High;Yes;no;No;no;Yes;Techy;No
RX15;Dimension Polyant;X-Pac X3;Unknown;DWR, 150 denier 100% Recycled Polyester Face, Black post-consumer recycled polyester X-PLY at 22°, 0.5 mil polyester film;5.8;24.8;18.1;21.45;200;600;59;Moderate;Yes;Unclear;Yes;yes;Yes;Techy;Partially
RX30;Dimension Polyant;X-Pac X3;Unknown;DWR, 300 denier 100% Recycled Polyester Face, Black post-consumer recycled polyester X-PLY at 22°, 0.5 mil polyester film;7.7;19;17.9;18.45;200;2000;59;Moderate;Yes;Unclear;Yes;yes;Yes;Techy;Partially
RX36;Dimension Polyant;X-Pac X3;Unknown;DWR, 300x600 denier 100% Recycled Polyester Face, Black post-consumer recycled polyester X-PLY at 22°, 0.5 mil polyester film;10.5;63;61.1;62.05;200;2000;59;Moderate;Yes;Unclear;Yes;yes;Yes;Techy;Partially
X21;Dimension Polyant;X-Pac X3;Unknown;DWR, 210 denier Nylon face, Black post-consumer recycled polyester X-PLY at 22°, 0.5 mil shiny polyester film backing;5.2;16;12;14;200;900;59;Moderate;Yes;Unclear;No;no;Yes;Techy;Partially
X42;Dimension Polyant;X-Pac X3;Unknown;DWR, 420 denier Nylon face, Black post-consumer recycled polyester X-PLY at 22°, 0.5 mil shiny polyester film backing;7.7;31.4;23.7;27.55;200;1700;59;Moderate;Yes;Unclear;No;no;Yes;Techy;Partially
X50;Dimension Polyant;X-Pac X3;Unknown;DWR, 500 denier Cordura Nylon face, Black post-consumer recycled polyester X-PLY at 22°, 0.5 mil shiny polyester film backing;9.3;38.5;32.6;35.55;200;2000;57;Moderate;Yes;Unclear;No;no;Yes;Techy;Partially
X51;Dimension Polyant;X-Pac X3;Unknown;DWR, 500 x 1000 denier Cordura Nylon face, Black post-consumer recycled polyester X-PLY at 22°, 0.5 mil shiny polyester film backing;9.6;39;52;45.5;200;3000;57;Moderate;Yes;Unclear;No;no;Yes;Techy;Partially
X33 CAMOUFLAGE;Dimension Polyant;X-Pac X3;Unknown;DWR, 330 denier Cordura Nylon face, Black post-consumer recycled polyester X-PLY at 22°, 0.5 mil shiny polyester film backing;7.3;23;18.9;20.95;200;2000;57;Moderate;Yes;Unclear;No;no;Yes;Techy;Partially
X50 CAMOUFLAGE;Dimension Polyant;X-Pac X3;Unknown;DWR, 500 denier Cordura Nylon face, Black post-consumer recycled polyester X-PLY at 22°, 0.5 mil shiny polyester film backing;9.3;38.5;32.6;35.55;200;2000;57;Moderate;Yes;Unclear;No;no;Yes;Techy;Partially
X50 TACTICAL;Dimension Polyant;X-Pac X3;Unknown;DWR, 400d armid X-PLY at 22°, 500 denier Cordura Nylon face, 0.5 mil shiny polyester film backing;10.9;63.9;58.4;61.15;200;2000;57;Moderate;Yes;Unclear;No;no;Yes;Techy;No
WX21;Dimension Polyant;X-Pac X3;Unknown;DWR, 210 denier Nylon face, Black post-consumer recycled polyester X-PLY at 22°, Black post-consumer recycled polyester warp insert at 2EPI, 0.5 mil shiny polyester film backing;5.7;25.5;15.5;20.5;200;800;59;Moderate;Yes;Unclear;No;no;Yes;Techy;Partially
X11;Dimension Polyant;X-Pac X3;Unknown;DWR, 10oz Natural Cotton Duck, Black post-consumer recycled polyester X-PLY at 22°, 0.5 mil shiny polyester film backing;11.5;13.3;9.4;11.35;200;1750;55;Moderate;Yes;Unclear;Yes;yes;Yes;Techy;Partially
LS07;Dimension Polyant;LS;Unknown;Non-Woven Polyester LiteSkin Face, DP UvT top-coating, 0.5 mil polyester film, 70d Rip-Stop Nylon backing;4.3;6.1;6.3;6.2;200;2000;59;Moderate;No;no;No;no;Yes;Techy;No
LS07 SOFT;Dimension Polyant;LS;Unknown;Non-Woven Polyester LiteSkin Face, DP UvT top-coating, 70d Rip-Stop Nylon backing;3.4;5.1;5.3;5.2;160;2000;59;Moderate;No;no;No;no;Yes;Softer;No
